Player,Team,Level,Position,Throws,Age,Year,AB Before Surgery,IP Before Surgery,G Before Surgery
Colin Holderman,NYM,A,RP,R,22,2018,8,94.1,35
Grayson Huffman,TOR,A-,RP,L,23,2018,0,114.3,61
Pablo Ochoa,CHC,Rk,RP,L,20,2018,0,94,29
Wil Jensen,SF,Coll,SP,R,20,2018,0,130.3,21
Alex Dickerson,SD,MLB,OF,L,28,2018,2187,0,619
Rafael Montero,NYM,MLB,SP,R,27,2018,114,1503.3,177
Jacob Lindgren,ATL,A+,RP,L,25,2018,0,61,47
David Phelps,SEA,MLB,RP,R,31,2018,53,1387.6,321
Jharel Cotton,OAK,MLB,SP,R,26,2018,29,654.6,151
Scott Kobos,CHC,Coll,RP,L,20,2018,142,13,50
Jose De Leon,TB,A+,SP,R,25,2018,4,19.6,5
Julian Merryweather,CLE,AAA,SP,R,26,2018,0,381,83
Joe Mantiply,CIN,AAA,RP,L,27,2018,0,242.6,159
Tyler Spurlin,MIL,AA,RP,R,27,2018,1,193,146
Nick Ernst,NYY,Coll,RP,R,21,2018,0,102,46
Noah Davis,CIN,Coll,SP,R,21,2018,0,189,38
Corey Merrill,LAD,Coll,SP,R,23,2018,0,295,61
Mason Ward,PIT,Rk,RP,L,22,2018,0,168.6,83
Steven Gingery,STL,Coll,SP,L,20,2018,0,161.3,31
Elieser Medrano,TOR,Rk,RP,R,19,2018,0,23,6
Brent Honeywell,TB,AAA,SP,R,23,2018,0,431,84
Tyler Holton,ARI,Coll,SP,L,22,2018,92,204.6,43
Bryan Garcia,DET,HS,RP,R,23,2018,0,0,0
Christian Trent,MIL,Rk,SP,L,25,2018,0,267,55
Cullen Dana,SD,Coll,SP,L,20,2018,0,166.3,35
Andrew Bellatti,TB,AA,RP,R,26,2018,0,23.3,17
Luke Lanphere,TEX,A,SP,R,22,2018,0,229.3,57
Alger Hodgson,ATL,Rk,RP,R,19,2018,0,40,12
Brock Bell,BOS,HS,SP,R,20,2018,0,0,0
J.B. Olson,CHW,A,RP,R,23,2018,0,131.3,83
Kyle Thomas,DET,Rk,RP,R,23,2018,0,3,2
Bailey Horn,DET,HS,RP,L,20,2018,0,0,0
Nick Hernandez,HOU,AA,RP,R,23,2018,0,136,86
Ryan Thompson,HOU,AA,RP,R,25,2018,0,229.3,146
Chad Sykes,LAA,Coll,RP,R,22,2018,0,159.3,84
Kyle Molnar,LAA,Coll,SP,R,21,2018,0,101,20
Remey Reed,MIA,A,RP,R,23,2018,0,147,68
Randy LeBlanc,MIN,AA,SP,R,26,2018,1,647.3,151
Zach Featherstone,MIN,Rk,RP,L,22,2018,99,18.3,15
Jon Olsen,MIN,Coll,SP,R,21,2018,0,174.6,41
Montana Semmel,NYY,HS,RP,R,16,2018,0,0,0
Nik Turley,PIT,MLB,SP,L,28,2018,24,805,186
Erik Sabrowski,SD,HS,RP,L,20,2018,0,0,0
Luis Munoz,SEA,Rk,SP,R,21,2018,0,54,15
Patrick Ruotolo,SF,AA,RP,R,23,2018,0,270,195
Peter Maris,TB,AA,SS,R,24,2018,1702,1.3,489
Seth Nordlin,TEX,A-,SP,R,20,2018,0,90,25
Mike Ellenbest,TOR,A,SP,R,22,2018,0,294.6,62
Kevin Strohschein,WAS,Coll,OF,R,20,2018,896,0,220
Clayton Beeter,LAD,HS,RP,R,18,2017,0,0,0
Justin Hooper,KC,Coll,RP,L,20,2017,0,103,48
Andrew Vernon,MIL,A,RP,R,23,2017,0,253,140
Jason Morgan,CHW,Coll,SP,R,21,2017,0,167,53
Drew Storen,CIN,MLB,RP,R,29,2017,3,507.6,524
Jesen Therrien,PHI,MLB,RP,R,24,2017,2,345,190
Nash Walters,MIL,Rk,SP,R,20,2017,0,50.1,25
T.J. Rivera,NYM,MLB,2B,R,28,2017,2775,0,736
Sam Coonrod,SF,AA,SP,R,24,2017,28,284,106
Chase Ingram,NYM,A,SP,R,22,2017,0,188.3,47
Trevor Rosenthal,STL,MLB,RP,R,27,2017,21,610.3,394
Luis De Los Santos,NYM,A-,SP,R,23,2017,0,140.3,38
Grant Dayton,LAD,MLB,RP,L,29,2017,8,449.3,327
Jordan Humphreys,NYM,A+,SP,R,21,2017,0,168.2,33
Drew Rasmussen,MIL,HS,RP,R,21,2017,0,0,0
Justin Steele,CHC,A+,SP,L,21,2017,0,236.3,58
Kevin Gowdy,PHI,Rk,SP,R,19,2017,0,9,4
Peter Fairbanks,TEX,A+,SP,R,23,2017,0,177.3,46
Edinson Volquez,MIA,MLB,SP,R,33,2017,325,2203,405
Luis Cordero,MIL,Rk,RP,L,18,2017,0,29,12
Brett Eibner,LAD,AAA,OF,R,28,2017,220,3.3,87
Joe Record,MIN,Coll,SP,R,22,2017,0,109,27
Zack Burdi,CHW,AAA,RP,R,22,2017,0,71.3,55
Max Kuhns,NYM,A,RP,R,22,2017,94,107.6,81
Nick Longhi,CIN,AA,OF,L,21,2017,1323,0,340
Darren Shred,CIN,Rk,RP,R,19,2017,0,21.3,19
Chi Chi Gonzalez,TEX,AAA,SP,R,25,2017,0,485,88
Logan Harasta,SF,A-,RP,R,20,2017,1,163.6,70
Joe Ross,WAS,MLB,SP,R,24,2017,112,672,134
Thomas Szapucki,NYM,A,SP,L,21,2017,0,83.3,18
Michael Pineda,NYY,MLB,SP,R,28,2017,11,1140.3,217
Andre Rienzo,SD,AAA,SP,R,28,2017,19,892.3,234
Drew Smyly,SEA,MLB,SP,L,28,2017,4,736.6,192
Jason Foley,DET,A+,RP,R,21,2017,0,272.3,106
Wes Helsabeck,LAD,A+,RP,L,24,2017,0,211.6,77
Mario Sanchez,PHI,AA,RP,R,22,2017,1,332,124
Frankie Tostado,SF,HS,OF,L,19,2017,0,0,0
Patrick Weigel,ATL,AAA,SP,R,22,2017,0,276.6,54
Lucas Luetge,BAL,AAA,RP,L,30,2017,13,678.6,402
Zach Putnam,CHW,MLB,RP,R,29,2017,3,474,338
Andrew Miller,MIA,Coll,RP,L,20,2017,0,25.3,30
Jandel Gustave,HOU,MLB,RP,R,24,2017,0,332.3,184
Gleyber Torres,NYY,AAA,IF,R,20,2017,1349,0,356
Edgardo Sandoval,HOU,A,RP,R,20,2017,0,160.3,48
Braxton Garrett,MIA,A,SP,L,20,2017,0,15.3,4
Jordan Holloway,MIA,A,SP,R,21,2017,0,201,50
Joe Perez,HOU,HS,3B,R,17,2017,0,0,0
Matt Smith,MIL,A,SP,R,23,2017,0,383.3,64
Yosmer Leal,MIL,Rk,SP,R,21,2017,0,91.3,25
Brandon Walter,BOS,Coll,SP,L,20,2017,0,144.6,23
Noah Murdock,KC,Coll,SP,R,18,2017,0,38,11
Travis Herrin,LAA,A,RP,R,22,2017,0,130.3,42
Joel Huertas,NYM,A,RP,L,21,2017,0,141,49
Josh Roberson,MIA,Coll,RP,R,21,2017,0,107.6,45
Bo Tucker,LAA,Rk,RP,L,22,2017,0,131.6,65
Logan Gragg,STL,HS,RP,R,18,2017,0,0,0
Rob Wooten,CIN,AAA,RP,R,31,2017,6,514.3,389
Luis Mora,ATL,A,SP,R,22,2017,0,118,49
Shawn Tolleson,TB,MLB,RP,R,29,2017,3,350,326
Evan Grills,COL,AAA,RP,L,25,2017,0,523,143
Ian Gardeck,SF,A+,RP,R,26,2017,0,229.6,175
Shelby Miller,ARI,MLB,SP,R,26,2017,288,1144.6,214
Chase Johnson,SF,AAA,SP,R,25,2017,9,471.6,167
Blake Tiberi,NYM,HS,3B,R,22,2017,677,0,0
Clarke Schmidt,NYY,HS,SP,R,21,2017,0,0,0
Ryan O Rourke,MIN,MLB,RP,L,29,2017,2,404.3,279
Brady Rodgers,HOU,AAA,SP,R,26,2017,0,567,116
Mac Marshall,SF,A-,SP,L,21,2017,0,89.3,28
Yoiber Marquina,CLE,A,RP,R,21,2017,45,79,72
Michael Grove,LAD,Coll,SP,R,20,2017,0,92,25
Jean Cosme,SD,A+,SP,R,21,2017,0,201.6,55
Chris Muller,TB,HS,RP,R,21,2017,0,0,0
Blake Bass,TEX,A+,RP,R,24,2017,125,311.3,85
Daulton Jefferies,OAK,A+,SP,R,21,2017,0,18.3,7
Joe Palumbo,TEX,A+,RP,L,22,2017,0,231,76
Seth Simmons,SD,AA,RP,R,29,2017,9,480.3,291
John Pomeroy,PIT,Rk,RP,R,22,2017,0,38.3,42
Dariel Alvarez,BAL,AAA,OF,R,28,2017,1695,0,350
James Kaprielian,NYY,A+,SP,R,23,2017,0,29.3,8
Jensen Elliott,BAL,Coll,SP,R,20,2017,0,109.6,21
Witt Haggard,NYM,A,RP,R,25,2017,0,110,64
Mike Nikorak,COL,Rk,SP,R,20,2017,0,47,15
Ryan Koziol,SF,A,RP,R,23,2017,282,111.3,82
Clay Fisher,BAL,Coll,SS,R,21,2017,677,0,186
Michael McAvene,CHC,Coll,RP,R,19,2017,0,17.3,7
Josh Burgmann,CHC,Coll,RP,R,20,2017,0,13.6,8
Tejay Antone,CIN,AAA,SP,R,23,2017,0,369,67
Matt De La Rosa,BAL,Rk,3B,R,23,2017,719,42.6,139
